"id","male","Eqp","Age","BodyweightKg","Y","super","obs","ratio","Age2"
11,0,3,36.5,51.5,155,1,4,3.00970873786408,1332.25
11,0,3,37.5,51.45,160,1,5,3.10981535471331,1406.25
11,0,3,40.5,59.74,160,1,6,2.67827251422832,1640.25
11,0,3,41.5,56.36,160,1,7,2.8388928317956,1722.25
11,0,3,42.5,60.85,160,1,8,2.62941659819228,1806.25
12,1,3,52,66.1,210,1,1,3.17700453857791,2704
12,1,3,54,66.05,210,1,2,3.17940953822861,2916
12,1,1,60,75,246,1,3,3.28,3600
12,1,1,61,74.1,250,1,4,3.37381916329285,3721
12,1,1,61,75,230,1,5,3.06666666666667,3721
12,1,2,61,74,190,1,6,2.56756756756757,3721
12,1,1,63,72.3,230,1,7,3.18118948824343,3969
13,1,3,20.5,89,272.5,1,1,3.06179775280899,420.25
13,1,3,21.5,89.4,300,1,2,3.35570469798658,462.25
13,1,3,21.5,81.65,282.5,1,3,3.45988977342315,462.25
13,1,3,22.5,87.6,315,1,4,3.5958904109589,506.25
13,1,3,23.5,95.3,340,1,5,3.56768100734523,552.25
13,1,3,24.5,96.2,345,1,6,3.58627858627859,600.25
13,1,3,26.5,98.55,375,1,7,3.80517503805175,702.25
13,1,3,27.5,98,375,1,8,3.8265306122449,756.25
13,1,3,33.5,118.45,385,1,9,3.25031658927818,1122.25
13,1,4,37.5,115.95,346,1,10,2.98404484691677,1406.25
14,1,3,22.5,66.8,285,1,1,4.26646706586826,506.25
14,1,3,22.5,66.7,275,1,2,4.12293853073463,506.25
14,1,3,23.5,67.1,292.5,1,3,4.3591654247392,552.25
14,1,3,24.5,65.35,300,1,4,4.59066564651875,600.25
14,1,3,24.5,65.1,300,1,5,4.60829493087558,600.25
14,1,4,26.5,63.55,200,1,6,3.147128245476,702.25
14,1,4,27.5,65.7,222.5,1,7,3.38660578386606,756.25
14,1,3,27.5,65.2,300,1,8,4.60122699386503,756.25
14,1,4,28.5,65.8,220,1,9,3.34346504559271,812.25
14,1,3,29.5,65.65,290,1,10,4.41736481340442,870.25
14,1,3,30.5,65.45,300,1,11,4.58365164247517,930.25
14,1,3,32.5,65.95,292.5,1,12,4.43517816527672,1056.25
15,1,3,25.5,82.4,255,1,1,3.09466019417476,650.25
15,1,3,25.5,82.4,250,1,2,3.03398058252427,650.25
15,1,3,26.5,88.7,260,1,3,2.93122886133033,702.25
15,1,3,29.5,87.7,255,1,4,2.90763968072976,870.25
15,1,3,30.5,88.1,140,0,5,1.58910329171396,930.25
15,1,3,36,89.1,255,1,6,2.86195286195286,1296
15,1,4,39.5,92.2,220,0,7,2.38611713665944,1560.25
15,1,4,40.5,90.5,230,1,8,2.5414364640884,1640.25
15,1,3,41,91,250,1,9,2.74725274725275,1681
16,1,3,25,109.77,217.5,0,1,1.98141568734627,625
16,1,3,26,107.5,232.5,0,2,2.16279069767442,676
16,1,3,27,91.63,227.5,0,3,2.48281130634072,729
16,1,3,28,100,235,0,4,2.35,784
16,1,4,33.5,98.8,212.5,0,5,2.15080971659919,1122.25
16,1,4,37,89.5,207.5,0,6,2.31843575418994,1369
17,1,3,21.5,82.5,182.5,0,1,2.21212121212121,462.25
17,1,3,21.5,82.5,152.5,0,2,1.84848484848485,462.25
17,1,3,23.5,82.5,220,1,3,2.66666666666667,552.25
17,1,3,23.5,82.5,215,1,4,2.60606060606061,552.25
17,1,3,25.5,75,215,1,5,2.86666666666667,650.25
17,1,3,27.5,82.3,195,0,6,2.36938031591738,756.25
17,1,3,28.5,67.15,187.5,1,7,2.79225614296351,812.25
17,1,3,28.5,74.5,225,1,8,3.02013422818792,812.25
17,1,3,29.5,67.35,192.5,1,9,2.85820341499629,870.25
17,1,3,30.5,74.8,220,1,10,2.94117647058824,930.25
17,1,3,31.5,82.3,247.5,1,11,3.00729040097205,992.25
17,1,3,32.5,82.2,235,1,12,2.85888077858881,1056.25
18,1,3,32.5,88.7,245,1,1,2.76211950394588,1056.25
18,1,2,43,89,225,1,2,2.52808988764045,1849
18,1,2,47,74.9,125,0,3,1.66889185580774,2209
19,0,3,41.5,56.9,110,0,1,1.93321616871705,1722.25
19,0,3,42.5,58.3,115,0,2,1.97255574614065,1806.25
19,0,3,42.5,57.9,105,0,3,1.81347150259067,1806.25
19,0,3,44.5,59,135,0,4,2.28813559322034,1980.25
19,0,3,45.5,61.46,140,0,5,2.27790432801822,2070.25
19,0,3,45.5,61.86,160,1,6,2.58648561267378,2070.25
19,0,3,46.5,62.52,160,1,7,2.55918106206014,2162.25
19,0,3,47.5,62.35,160,1,8,2.56615878107458,2256.25
19,0,3,47.5,62.03,160,1,9,2.57939706593584,2256.25
19,0,3,49.5,62.55,155.5,0,10,2.48601119104716,2450.25
19,0,3,50.5,62.95,162.5,1,11,2.58141382049245,2550.25
19,0,3,52.5,62.9,160,1,12,2.54372019077901,2756.25
20,0,3,46,72,97.5,0,1,1.35416666666667,2116
20,0,3,47,72.6,87.5,0,2,1.20523415977961,2209
20,0,3,61,84,80,0,3,0.952380952380952,3721
20,0,3,62,73.9,82.5,0,4,1.11637347767253,3844
20,0,3,62,84,82.5,0,5,0.982142857142857,3844
20,0,3,63,75.7,80,0,6,1.05680317040951,3969
20,0,3,64,84,80,0,7,0.952380952380952,4096
20,0,3,64,75.75,80,0,8,1.05610561056106,4096
21,0,3,22.5,60,110,0,1,1.83333333333333,506.25
21,0,3,23.5,56,112.5,0,2,2.00892857142857,552.25
21,0,3,23.5,55.4,115,0,3,2.07581227436823,552.25
21,0,3,40.5,54.9,112.5,0,4,2.04918032786885,1640.25
21,0,3,41.5,55.5,112.5,0,5,2.02702702702703,1722.25
21,0,3,41.5,55.9,115,0,6,2.05724508050089,1722.25
